Date,Open,High,Low,Close,Adj Close,Volume
2019-11-14,696.349976,709.799988,696.349976,705.299988,660.803772,10539902
2019-11-15,709.049988,712.950012,702.299988,703.900024,659.492065,7362623
2019-11-18,705.000000,710.000000,699.299988,705.200012,660.710083,7490916
2019-11-19,709.900024,714.000000,705.000000,712.849976,667.877441,6495885
2019-11-20,712.799988,715.000000,705.000000,713.000000,668.018005,6142171
2019-11-21,715.500000,721.450012,710.500000,713.250000,668.252258,9692973
2019-11-22,711.750000,712.000000,685.099976,693.200012,649.467163,14415826
2019-11-25,693.349976,705.150024,693.200012,698.099976,654.057983,7334511
2019-11-26,705.000000,707.250000,686.000000,690.599976,647.031128,27253106
2019-11-27,694.250000,697.650024,690.099976,695.750000,651.856323,3861635
2019-11-28,699.099976,703.349976,694.049988,701.849976,657.571411,4837683
2019-11-29,700.900024,702.299988,691.549988,696.349976,652.418335,4262379
2019-12-02,703.099976,704.000000,690.299988,692.700012,648.998657,9383736
2019-12-03,692.700012,699.700012,688.549988,698.349976,654.292175,5239013
2019-12-04,697.000000,710.500000,693.349976,708.849976,664.129761,7427886
2019-12-05,706.450012,715.900024,703.799988,714.849976,669.751221,4814422
2019-12-06,715.950012,720.000000,709.599976,715.099976,669.985474,5226096
2019-12-09,716.000000,722.349976,714.250000,717.250000,671.999817,6435865
2019-12-10,713.000000,718.500000,710.000000,714.549988,669.470215,4457939
2019-12-11,716.599976,722.700012,713.000000,721.049988,675.560120,6043554
2019-12-12,718.500000,720.700012,699.549988,702.099976,657.805725,11112042
2019-12-13,700.349976,712.900024,700.349976,711.299988,666.425293,10302412
2019-12-16,712.299988,720.200012,710.200012,714.000000,668.954956,5616324
2019-12-17,719.700012,731.250000,715.000000,729.700012,683.664551,10525565
2019-12-18,731.000000,737.299988,722.750000,732.450012,686.240967,12215295
2019-12-19,733.500000,735.950012,724.599976,730.849976,684.741821,7199210
2019-12-20,731.000000,735.000000,728.250000,731.549988,685.397766,7794167
2019-12-23,732.150024,737.299988,731.650024,736.000000,689.567017,4975608
2019-12-24,736.950012,736.950012,728.299988,733.400024,687.131042,2890759
2019-12-26,732.000000,734.549988,726.549988,728.950012,682.961731,3821806
2019-12-27,729.750000,737.500000,728.849976,736.950012,690.457031,3399094
2019-12-30,736.099976,737.950012,727.250000,732.900024,686.662598,5368416
2019-12-31,729.700012,737.750000,725.450012,731.150024,685.022949,6927885
2020-01-01,735.000000,740.000000,732.549988,736.849976,690.363342,2112415
2020-01-02,738.900024,740.799988,730.900024,734.700012,688.348999,5658200
2020-01-03,733.900024,748.000000,733.900024,746.000000,698.936157,7882938
2020-01-06,746.099976,753.799988,736.500000,738.849976,692.237183,6519403
2020-01-07,738.000000,742.599976,725.099976,727.900024,681.978027,7899363
2020-01-08,724.950012,729.000000,708.299988,718.200012,672.889893,8639443
2020-01-09,721.700012,731.500000,714.299988,727.549988,681.650085,13521186
2020-01-10,740.450012,742.900024,730.500000,738.150024,691.581299,9341405
2020-01-13,760.000000,777.500000,755.000000,773.549988,724.748047,36952038
2020-01-14,769.950012,776.950012,767.200012,775.650024,726.715454,11414418
2020-01-15,773.849976,773.849976,762.150024,767.549988,719.126465,6047430
2020-01-16,770.700012,772.500000,760.250000,767.000000,718.611206,5740586
2020-01-17,770.700012,772.900024,762.250000,767.849976,719.407593,3762957
2020-01-20,771.599976,774.400024,762.950012,768.450012,719.969727,3887680
2020-01-21,768.450012,770.500000,760.750000,762.500000,714.395142,4448374
2020-01-22,768.450012,778.000000,766.000000,770.200012,721.609375,9733935
2020-01-23,777.099976,785.500000,776.700012,784.349976,734.866699,12528017
2020-01-24,775.750000,786.500000,773.599976,782.750000,733.367676,7540490
2020-01-27,779.049988,784.799988,774.400024,778.099976,729.010925,3741610
2020-01-28,781.000000,781.799988,772.000000,778.000000,728.917236,5121009
2020-01-29,786.599976,792.799988,784.250000,789.700012,739.879211,6832757
2020-01-30,789.700012,789.700012,778.000000,780.700012,731.447021,3859680
2020-01-31,780.549988,784.950012,771.599976,775.950012,726.996582,6092028
2020-02-03,782.000000,790.950012,764.500000,767.400024,718.985962,6416745
